Dates,IVV US Equity,IVV AU Equity,ECRPUS 1Y Index,SPXSFRCS Index,FDTRFTRL Index,USCRWTIC Index,XAU Curncy,JPYUSD Curncy,DXY Curncy,VIX Index
1/1/2020,323.24,461.43,30,3318,1.5,61.06,1517.29,0.009195,96.445,13.78
1/2/2020,326.32,462.93,30,3318,1.5,61.18,1529.13,0.009211,96.846,12.47
1/3/2020,323.81,464.92,30,3318,1.5,63.05,1552.2,0.00925,96.838,14.02
1/6/2020,325.09,465.5,30,3318,1.5,63.27,1565.74,0.009228,96.671,13.85
1/7/2020,324.2,469.82,30,3318,1.5,62.7,1574.37,0.009222,97.005,13.79
1/8/2020,325.85,470.25,30,3318,1.5,59.61,1556.42,0.009164,97.299,13.45
1/9/2020,328.05,475.72,30,3318,1.5,59.56,1552.32,0.00913,97.45,12.54
1/10/2020,327.14,478.42,30,3318,1.5,59.04,1562.34,0.009136,97.356,12.56
1/13/2020,329.43,474.25,30,3318,1.5,58.08,1547.88,0.009095,97.345,12.32
1/14/2020,328.92,477.56,30,3318,1.5,58.23,1546.39,0.009091,97.372,12.39
1/15/2020,329.66,476.32,30,3318,1.5,57.81,1556.25,0.009099,97.229,12.42
1/16/2020,332.4,478.61,30,3318,1.5,58.52,1552.51,0.009077,97.32,12.32
1/17/2020,333.5,482,30,3318,1.5,58.54,1557.24,0.009078,97.606,12.1
1/20/2020,333.5,484.2,30,3318,1.5,58.54,1560.77,0.009076,97.606,12.1
1/21/2020,332.78,483.49,30,3355,1.5,58.34,1558.17,0.009101,97.531,12.85
1/22/2020,332.85,488.64,30,3355,1.5,56.64,1558.78,0.009104,97.527,12.91
1/23/2020,333.26,483.99,30,3355,1.5,55.5,1562.94,0.009133,97.693,12.98
1/24/2020,330.23,487.54,30,3355,1.5,54.12,1571.53,0.009151,97.853,14.56
1/27/2020,324.87,487.54,30,3355,1.5,53.14,1582.06,0.009183,97.956,18.23
1/28/2020,328.33,482.74,30,3355,1.5,53.48,1567.17,0.009162,98.018,16.28
1/29/2020,328.1,486.84,30,3355,1.5,53.33,1576.83,0.009173,97.991,16.39
1/30/2020,329.09,484,30,3355,1.5,52.14,1574.28,0.00918,97.867,15.49
1/31/2020,323.24,491.39,30,3355,1.5,51.56,1589.16,0.009228,97.39,18.84
2/3/2020,325.56,486.23,30,3355,1.5,50.11,1576.73,0.009202,97.8,17.97
2/4/2020,330.61,487.89,30,3355,1.5,49.61,1552.92,0.00913,97.961,16.05
2/5/2020,334.29,490.61,30,3355,1.5,50.75,1556.02,0.009105,98.301,15.15
2/6/2020,335.57,497.73,30,3355,1.5,50.95,1566.66,0.009091,98.496,14.96
2/7/2020,333.75,498.94,30,3355,1.5,50.32,1570.44,0.009112,98.684,15.47
2/10/2020,336.22,498,30,3355,1.5,49.57,1572.15,0.00911,98.832,15.04
2/11/2020,336.84,502.66,30,3355,1.5,49.94,1567.89,0.009109,98.721,15.18
2/12/2020,339,501.73,30,3355,1.5,51.17,1566.06,0.009083,99.049,13.74
2/13/2020,338.58,502.99,30,3355,1.5,51.42,1576,0.009105,99.067,14.15
2/14/2020,339.07,505.65,25,3355,1.5,52.05,1584.06,0.009109,99.124,13.68
2/17/2020,339.07,505.58,25,3355,1.5,52.05,1581.13,0.009101,99.003,13.68
2/18/2020,338.26,505.93,25,3355,1.5,52.05,1601.61,0.009102,99.44,14.83
2/19/2020,339.88,506.81,25,3355,1.5,53.29,1611.7,0.00898,99.705,14.38
2/20/2020,338.49,510.5,25,3342,1.5,53.78,1619.56,0.008921,99.865,15.56
2/21/2020,335.01,510.41,25,3342,1.5,53.3,1643.41,0.008964,99.262,17.08
2/24/2020,323.83,500.31,25,3342,1.5,51.33,1659.38,0.009032,99.359,25.03
2/25/2020,314.12,493.96,25,3342,1.5,49.76,1635.14,0.009074,98.968,27.85
2/26/2020,312.91,479.51,25,3342,1.5,48.73,1640.96,0.009056,98.996,27.56
2/27/2020,298.71,469.81,25,3342,1.5,47.09,1645.01,0.009125,98.508,39.16
2/28/2020,295.91,449.76,25,3342,1.5,44.76,1585.69,0.00925,98.132,40.11
3/2/2020,310.4,456.63,25,3342,1.5,46.75,1589.44,0.009232,97.36,33.42
3/3/2020,301.5,469.88,25,3342,1,47.18,1640.9,0.009336,97.153,36.82
3/4/2020,314.75,462,25,3342,1,46.78,1636.93,0.009299,97.336,31.99
3/5/2020,303.76,469.33,25,3342,1,45.9,1672.23,0.009419,96.82,39.62
3/6/2020,298.7,453.12,25,3342,1,41.28,1673.83,0.009485,95.951,41.94
3/9/2020,274.8,433.2,25,3342,1,31.13,1680.47,0.009768,94.895,54.46
3/10/2020,289.55,434.38,25,3342,1,34.36,1649.4,0.009466,96.414,47.3
3/11/2020,275.47,431.06,25,3342,1,32.98,1635.04,0.009571,96.507,53.9
3/12/2020,248.96,413.5,25,3342,1,31.5,1576.15,0.009557,97.468,75.47
3/13/2020,271.55,400.57,40,3342,1,31.73,1529.83,0.009273,98.749,57.83
3/16/2020,240.12,408,40,3342,0,28.7,1514.1,0.009444,98.069,82.69
3/17/2020,255.39,413,40,3342,0,26.95,1528.3,0.009289,99.575,75.91
3/18/2020,241.17,402.61,40,3176,0,20.37,1486.05,0.009252,101.16,76.45
3/19/2020,242.06,417.98,40,3176,0,25.22,1471.24,0.009033,102.755,72
3/20/2020,231.16,413.28,40,3176,0,22.43,1498.65,0.009027,102.817,66.04
3/23/2020,224.65,388.49,40,3176,0,20.36,1553.23,0.00899,102.487,61.59
3/24/2020,245.88,393.06,40,3176,0,20.01,1632.32,0.008991,102.039,61.67
3/25/2020,247.47,406.38,40,3176,0,18.99,1616.9,0.008992,101.05,63.95
3/26/2020,262.37,417,40,3039,0,22.6,1631.34,0.009125,99.352,61
3/27/2020,254.24,421.61,40,3039,0,21.51,1628.16,0.009262,98.365,65.54
3/30/2020,262.36,416.5,40,3039,0,20.09,1622.51,0.009274,99.181,57.08
3/31/2020,258.4,424.26,40,3039,0,20.48,1577.18,0.009299,99.048,53.54
4/1/2020,246.8,414.3,40,3039,0,20.31,1591.51,0.009331,99.673,57.06
4/2/2020,252.59,409.41,40,3039,0,24.79,1613.99,0.009267,100.18,50.91
4/3/2020,249.02,410.76,40,3039,0,28.34,1620.81,0.009214,100.576,46.8
4/6/2020,265.8,429.42,40,3039,0,26.08,1660.97,0.009154,100.685,45.24
4/7/2020,265.91,433.8,40,3039,0,23.63,1647.72,0.009194,99.9,46.7
4/8/2020,275,433.57,40,3039,0,25.09,1646.14,0.009188,100.119,43.35
4/9/2020,279.12,443.69,52.5,3039,0,22.76,1683.73,0.009217,99.517,41.67
4/10/2020,279.12,443.69,100,3039,0,22.76,1696.65,0.009222,99.482,41.67
4/13/2020,276.44,443.69,100,3039,0,22.41,1715.34,0.00928,99.348,41.17
4/14/2020,284.83,437.5,100,3039,0,20.11,1726.97,0.009327,98.887,37.76
4/15/2020,278.57,444.72,100,2960,0,19.87,1717.03,0.009307,99.461,40.84
4/16/2020,280.05,444.87,100,2960,0,19.87,1717.7,0.009265,100.025,40.11
4/17/2020,287.58,453.98,100,2960,0,18.27,1682.82,0.009299,99.782,38.15
4/20/2020,282.46,451.78,100,2960,0,-37.63,1695.65,0.009291,99.955,43.83
4/21/2020,273.86,444.02,100,2960,0,10.01,1686.2,0.00928,100.258,45.41
4/22/2020,280.06,436.9,100,2960,0,12.28,1714.08,0.009281,100.388,41.98
4/23/2020,279.98,441.65,100,2960,0,15.75,1730.51,0.009292,100.433,41.38
4/24/2020,283.9,437.4,100,2960,0,16.04,1729.6,0.009302,100.38,35.93
