,trade_id,asset,dt_enter,dt_exit,success,n,rtn
0,1,AAPL.O,2020-03-03,2020-03-04,1,2,0.498%
1,2,AAPL.O,2020-03-04,2020-03-13,-1,8,-0.375%
2,3,AAPL.O,2020-03-05,2020-03-12,-1,6,-3.141%
3,4,AAPL.O,2020-03-06,2020-03-13,-1,6,-0.706%
4,5,AAPL.O,2020-03-09,2020-03-16,-1,6,-2.778%
5,6,AAPL.O,2020-03-10,2020-03-13,1,4,0.249%
6,7,AAPL.O,2020-03-11,2020-03-18,-1,6,-2.260%
7,8,AAPL.O,2020-03-12,2020-03-13,1,2,0.498%
8,9,AAPL.O,2020-03-13,2020-03-17,1,3,0.332%
9,10,AAPL.O,2020-03-16,2020-03-23,-1,6,-3.403%
10,11,AAPL.O,2020-03-17,2020-03-17,1,1,0.996%
11,12,AAPL.O,2020-03-18,2020-03-19,1,2,0.497%
12,13,AAPL.O,2020-03-19,2020-03-20,1,2,0.497%
13,14,AAPL.O,2020-03-20,2020-03-24,1,3,0.331%
14,15,AAPL.O,2020-03-23,2020-03-24,1,2,0.498%
15,16,AAPL.O,2020-03-24,,0,3,
16,17,AAPL.O,2020-03-25,2020-03-26,1,2,0.497%
17,18,AAPL.O,2020-03-26,,0,3,
18,19,AAPL.O,2020-03-27,2020-03-31,1,3,0.332%
19,20,AAPL.O,2020-03-30,2020-04-06,1,6,0.166%
20,21,AAPL.O,2020-03-31,2020-04-06,1,5,0.199%
21,22,AAPL.O,2020-04-01,2020-04-06,1,4,0.249%
22,23,AAPL.O,2020-04-02,2020-04-02,1,1,0.993%
23,24,AAPL.O,2020-04-03,2020-04-06,1,2,0.497%
24,25,AAPL.O,2020-04-06,,0,3,
25,26,AAPL.O,2020-04-07,2020-04-08,1,2,0.498%
26,27,AAPL.O,2020-04-08,,0,4,
27,28,AAPL.O,2020-04-09,,0,4,
28,29,AAPL.O,2020-04-13,,0,3,
29,30,AAPL.O,2020-04-14,,0,3,
30,31,AAPL.O,2020-04-15,2020-04-16,1,2,0.497%
31,32,AAPL.O,2020-04-16,2020-04-24,-1,7,0.070%
32,33,AAPL.O,2020-04-17,2020-04-24,-1,6,-0.050%
33,34,AAPL.O,2020-04-20,2020-04-24,1,5,0.199%
